Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock,mid_level_category
taller,taller,5.57,Adjective,6,4,2,tall,,,4.95,1.0,5.02,4.47,4.67,,quality
tallest,tallest,0.98,Adjective,7,6,2,tall,,,4.95,1.0,5.02,4.47,4.67,,quality
tallied,tallied,0.16,Verb,7,5,2,tally,,,10.16,1.0,,10.54,,,stative
tallies,tallies,0.1,Verb,7,5,2,tally,,,10.16,1.0,,10.54,,,stative
talons,talons,0.55,Noun,6,6,2,talon,,,10.53,0.89,,,,10.51,unknown_noun
tamales,tamales,0.27,Noun,7,7,3,tamale,,,10.56,0.89,,,,,unknown_noun
tambourines,tambourines,0.12,Noun,11,9,3,tambourine,,,6.53,1.0,,,,,unknown_noun
tamed,tamed,0.8,Verb,5,4,1,tame,,,7.58,1.0,,,8.65,,change
tames,tames,0.04,Verb,5,4,1,tame,,,7.58,1.0,,,8.65,,change
tamest,tamest,0.02,Adjective,6,6,2,tame,,,7.58,1.0,,,8.65,,quality
taming,taming,0.39,Verb,6,5,2,tame,,,7.58,1.0,,,8.65,,change
tampered,tampered,1.45,Verb,8,6,2,tamper,,,11.26,1.0,,,,,contact
tampering,tampering,1.31,Verb,9,7,3,tamper,,,11.26,1.0,,,,,contact
tampers,tampers,0.08,Verb,7,6,2,tamper,,,11.26,1.0,,,,,contact
tampons,tampons,0.73,Noun,7,7,2,tampon,,,12.11,1.0,,,,11.7,unknown_noun
tanagers,tanagers,0.02,Noun,8,7,3,tanager,,,13.7,0.56,,,,,unknown_noun
tangents,tangents,0.02,Noun,8,8,2,tangent,,,12.16,1.0,,,,,unknown_noun
tangerines,tangerines,0.16,Noun,10,8,3,tangerine,,,8.15,1.0,7.35,,,,unknown_noun
tangled,tangled,2.55,Verb,7,7,2,tangle,,,6.32,1.0,,,,7.19,stative
