Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock
chair,chair,49.24,Noun,5,3,1,chair,3.43,1.00,3.43,1.00,,,4.36,
finger,finger,36.67,Noun,6,5,2,finger,3.43,1.00,3.43,1.00,,3.79,,4.14
spider,spider,10.10,Noun,6,5,2,spider,3.43,1.00,3.43,1.00,4.84,,,4.38
foot,foot,64.92,Noun,4,3,1,foot,3.44,1.00,3.44,1.00,3.62,,3.11,
noodle,noodle,2.90,Noun,6,5,2,noodle,3.44,1.00,3.44,1.00,,,,4.91
oink,oink,1.08,Verb,4,3,1,oink,3.44,0.95,3.44,0.95,,,,
sorry,sorry,1167.96,Adjective,5,4,2,sorry,3.44,1.00,3.44,1.00,4.50,,,4.14
try,try,476.75,Verb,3,3,1,try,3.44,1.00,3.44,1.00,5.07,4.75,4.14,
eyes,eyes,221.55,Noun,4,2,1,eyes,3.44,1.00,3.44,1.00,,,,
walk,walk,215.86,Verb,4,3,1,walk,3.45,1.00,3.45,1.00,4.50,4.31,4.21,
breakfast,breakfast,66.29,Noun,9,8,2,breakfast,3.47,1.00,3.47,1.00,3.67,4.82,,3.87
drink,drink,247.39,Noun,5,5,1,drink,3.47,1.00,3.47,1.00,3.65,4.41,3.75,
hill,hill,37.55,Noun,4,3,1,hill,3.47,1.00,3.47,1.00,,5.26,4.86,
pillow,pillow,11.39,Noun,6,4,2,pillow,3.47,1.00,3.47,1.00,,4.52,,4.48
sing,sing,97.59,Verb,4,3,1,sing,3.47,1.00,3.47,1.00,4.37,4.54,4.67,
sit,sit,311.35,Verb,3,3,1,sit,3.47,1.00,3.47,1.00,,,3.56,
snowman,snowman,1.90,Noun,7,6,2,snowman,3.47,1.00,3.47,1.00,,,,
goodbye,goodbye,116.51,Interjection,7,5,2,goodbye,3.47,1.00,3.47,1.00,,3.65,,
tv,tv,101.94,101.94,2,4,2,tv,3.47,1.00,3.47,1.00,9.50,,,
pajamas,pyjamas,5.82,Noun,7,7,3,pajamas,3.48,1.00,3.48,1.00,,,,
please,please,1100.96,Adverb,6,4,1,please,3.48,1.00,3.48,1.00,,,3.72,
coloring,colouring,1.80,Noun,8,6,3,coloring,3.50,1.00,3.50,1.00,,,,
day,day,801.82,Noun,3,2,1,day,3.50,1.00,3.50,1.00,4.14,,3.85,
duck,duck,24.76,Noun,4,3,1,duck,3.50,1.00,3.50,1.00,,3.52,3.78,
smile,smile,58.00,Noun,5,4,1,smile,3.51,1.00,3.51,1.00,4.29,4.54,3.56,
bird,bird,45.45,Noun,4,3,1,bird,3.52,1.00,3.52,1.00,,4.31,3.58,
people,people,1102.98,Noun,6,5,2,people,3.52,1.00,3.52,1.00,5.40,5.73,,4.80
