"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","monolingual","typically_developing"
2023-11-30,"English (American)","WG","WG",195286,83668,8,"comprehension",6,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195306,83678,8,"comprehension",3,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195334,83692,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195340,83695,8,"comprehension",71,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195342,83696,8,"comprehension",79,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195344,83697,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195363,83707,8,"comprehension",4,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195371,83711,8,"comprehension",34,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195381,83716,8,"comprehension",37,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195383,83717,8,"comprehension",6,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195387,83719,8,"comprehension",5,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195393,83722,8,"comprehension",6,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195403,83727,8,"comprehension",5,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195405,83728,8,"comprehension",8,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195407,83729,8,"comprehension",62,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195421,83736,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195423,83737,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195425,83738,8,"comprehension",18,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195431,83741,8,"comprehension",26,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195454,83753,8,"comprehension",14,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195456,83754,8,"comprehension",11,3676,TRUE,TRUE,TRUE
